id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
75065,Bay cottage on Passamaquoddy bay,397069,Bob,Charlotte,Saint Andrews,45.13241,-67.04725,Entire home/apt,235,2,29,2019-10-20,1.16,1,107,11,
145013,Lobster Lane Cottage: private beach,642972,Jennifer,Kent,Dundas,46.32857,-64.52445,Entire home/apt,125,7,8,2020-08-23,0.11,1,362,0,
261800,Furnished Executive Close to City,1373498,Usha,Saint John,City of Saint John,45.27727,-66.0604,Entire home/apt,100,2,46,2019-09-27,1.21,1,352,2,
791070,Private room in a friendly home!,72953,Stephen,Westmorland,Sackville,45.894821,-64.376556,Private room,69,1,57,2019-10-10,0.56,1,336,7,
872640,Acadian Isle Retreat - Heron Haven,2189998,Danielle,Gloucester,Shippagan,47.86785,-64.52187,Entire home/apt,135,7,3,2015-09-01,0.11,1,355,0,
905910,"2 bedroom bungalow ideal - tv, movie film location",4847531,Forsale,Queens,Cambridge,45.85825,-66.11696,Entire home/apt,130,7,0,,,1,358,0,
950843,"Centrally located  3 bdrm  home , bkfst items",3032106,Gerry,Westmorland,Moncton,46.10555,-64.81432,Entire home/apt,124,4,200,2021-08-15,2.27,2,344,16,
1199731,"Beautiful Victorian Mansion, Superior Suite",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27233,-66.05694,Private room,180,1,130,2021-09-06,1.69,8,301,4,
1210065,Gagetown Boathouse a waterfront year-round retreat,6608327,Derek,Queens,Gagetown,45.78008,-66.14374,Entire home/apt,215,2,3,2021-10-16,0.82,2,178,3,
1242493,Parlour Room,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27358,-66.05307,Private room,125,1,47,2021-09-22,0.62,10,181,8,
1264655,"The Maples, NB Country Farmhouse",6885464,Gary,York,Bright,45.97722,-66.84614,Entire home/apt,139,3,139,2019-10-06,1.81,1,327,11,
1266591,"Beautiful King Suite, Victorian Mansion",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27406,-66.05772,Private room,188,1,79,2021-09-26,1.49,8,299,9,
1489389,"Midpoint to  Moncton, Saint John or Fredericton",7964165,Sharon,Kings,Springfield,45.64933,-65.8593,Private room,35,1,66,2018-09-29,1.04,3,349,3,
1806151,"Waterfront cottage, relaxing and fun get away!",4253971,Roxanne,Kent,Richibucto,46.68234,-64.80627,Entire home/apt,120,2,120,2017-07-24,1.57,1,208,29,
2148508,Near Fundy - Country Guest House,7964165,Sharon,Kings,Springfield,45.64943,-65.86004,Private room,35,1,136,2021-09-24,1.55,3,349,12,
2535589,Old Launch Ways - Family Cottage,4602006,Alec,Kings,Kingston,45.44755,-66.00487,Entire home/apt,150,7,44,2019-07-03,0.85,1,89,0,
2550351,Counting sheep guest suites #1 (adult only),12298363,Heather And Joey,Albert,Hillsborough,45.94133,-64.66544,Entire home/apt,150,2,49,2019-08-12,0.94,3,264,1,
2558458,Music of the Trees - Near the Sea,12963726,Sandra,Northumberland,Alnwick,47.1967,-65.14315,Entire home/apt,60,3,59,2016-08-02,0.92,1,333,3,
2664825,Victorian Apartment Close to Uptown,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27354,-66.05299,Private room,160,1,50,2019-08-09,0.63,10,181,0,
2745462,Oceanfront Cottage - Paradise Point,14045406,Shannon,Charlotte,Saint George,45.0635,-66.82176,Entire home/apt,128,2,191,2021-09-17,2.12,1,294,12,
3217193,Harris Hatch - Starfish Suite,16292752,Karen,Charlotte,Saint Andrews,45.0754,-67.05535,Entire home/apt,148,2,61,2019-08-28,1.57,2,153,20,
3260745,"Skyline Resort with Pool, Hot Tub & Tiki Hut! Db",16489649,Francis,York,Fredericton,45.93823,-66.64044,Private room,100,1,78,2018-08-30,1.52,2,169,4,
3310272,Pointe-du-Chêne: Parlee Beach Cottage,14467849,Bill & Courtney,Westmorland,Shediac,46.23471,-64.51617,Entire home/apt,264,7,38,2021-09-12,0.50,1,351,4,
3324500,Suites @ 157  Sea view,16784473,Ann,Kent,Wellington,46.47954,-64.69794,Private room,160,5,0,,,2,363,0,
3370306,Red Herring Cottage,17003698,Deborah,Charlotte,Grand Manan,44.76104,-66.74383,Entire home/apt,160,5,17,2019-08-03,0.22,1,44,5,
3543178,The NODD-INN - 3/1 Apartment,17836479,Lorrie,Charlotte,Saint Andrews,45.0969,-67.07441,Entire home/apt,190,2,46,2021-07-24,0.52,1,60,9,
3562967,Catch the Wind - Bed & Breakfast,17938931,Art,Albert,Hopewell,45.77091,-64.65566,Private room,110,1,219,2021-08-17,2.93,2,162,5,
3696064,Pumpkin B&B,18825144,Lynda,Westmorland,Westmorland,46.04963,-64.08476,Private room,120,1,4,2019-08-17,0.15,3,96,0,
3696105,Pumpkin Inn B&B,18825144,Lynda,Westmorland,Westmorland,46.04932,-64.08544,Private room,101,1,33,2017-08-05,0.43,3,365,7,
3697522,The Boathouse on Wegesegum,11880724,Junior,Queens,Chipman,46.15525,-65.89744,Entire home/apt,89,2,115,2021-09-12,1.83,1,311,13,
3705233,Stargazer Room - An Artist's Garden,18274338,Karin,Albert,Harvey,45.65058,-64.73643,Private room,125,2,75,2019-09-13,1.43,3,363,7,
3756385,L'Ancrage B&B (3x Lits jumeaux),19228862,L'Ancrage,Kent,Saint-Louis,46.74195,-64.98076,Private room,120,1,7,2021-08-23,2.50,3,360,5,
4439715,Beach House in the Bluffs,14633675,Terry,Westmorland,Shediac,46.23736,-64.50755,Entire home/apt,165,7,0,,,1,56,0,
4484263,Artsy Fantastic Fun Flat!,4679107,Debbie,Saint John,City of Saint John,45.27057,-66.06036,Entire home/apt,150,2,168,2021-09-19,2.10,2,319,23,
4549425,NO CLEANING FEES! Cozy 1 Bed. Basement Apt.,23587432,Julie,Westmorland,Moncton,46.06336,-64.71014,Entire home/apt,58,2,177,2018-09-12,2.24,1,297,15,
4881229,Storeytown Cottages - Cottage #1,25111766,Christine & Jeremie,Northumberland,Blissfield,46.54993,-66.16803,Entire home/apt,225,2,6,2017-08-29,0.09,4,251,1,
