id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34220,Room available,147438,Mark,,Capital,45.40924,-75.679,Private room,202,7,0,,,1,0,0,
36642,City Conveniences A Country Setting,157787,Donna,,Kitchissippi,45.40159,-75.74679,Private room,65,3,87,2019-10-07,0.70,1,364,0,
59258,Lower level of my house to rent,284351,Elena,,Bay,45.359,-75.80314,Entire home/apt,200,3,1,2011-07-04,0.01,1,0,0,
158824,DOWNTOWN/GLEBE HOUSE WITH BACKYARD,87296,Luc,,Capital,45.40248,-75.69941,Entire home/apt,140,3,7,2012-11-11,0.06,1,259,0,
261065,Westboro Village Executive Suite,1369632,Glenn,,Kitchissippi,45.38972,-75.75496,Entire home/apt,155,3,65,2019-11-30,0.54,1,202,2,
336692,Quiet Room with a view in the Ottawa Downtown,1712975,Elena,,Somerset,45.41557,-75.70551,Private room,78,1,11,2021-09-18,0.21,1,324,2,
365499,"Centrally - located Private Room, for females ONLY",1356353,Anna,,Capital,45.40546,-75.6928,Private room,44,1,211,2021-01-28,2.52,1,169,40,
413300,Loft-style 2 BR in ByWard Market,1707813,Geoffrey,,Rideau-Vanier,45.43399,-75.69105,Entire home/apt,90,2,44,2020-02-23,0.59,1,0,0,
490182,Basement Studio - Old Ottawa East,2401179,Ela,,Capital,45.40453,-75.67695,Private room,40,30,8,2020-08-30,0.19,1,0,0,
678641,Lovely private bed/bath -Centretown (private home),3453855,Kate & Dan,,Somerset,45.4082,-75.69908,Private room,65,20,126,2018-10-07,1.33,1,16,0,
682632,"Adorable 2 bdrm, Central Ottawa PD1",3201295,Greg And Valerie,,Kitchissippi,45.40269,-75.73023,Entire home/apt,96,30,7,2020-12-20,0.11,6,184,1,
682634,Highly desirable Ottawa & Wellington Village West!,3201295,Greg And Valerie,,Kitchissippi,45.40097,-75.73203,Entire home/apt,101,30,4,2016-03-10,0.05,6,105,1,
685334,Family Home in Ottawa's Hintonburg,3495367,Ben,,Kitchissippi,45.39946,-75.72498,Entire home/apt,239,3,4,2013-08-26,0.08,1,0,0,
706426,"Warm and inviting, friendly & safe",621303,Kim,,Rideau-Rockcliffe,45.43767,-75.63809,Private room,47,3,106,2018-05-22,0.98,2,332,2,
839140,"Master Bedroom, West End",4383680,Jude,,College,45.31558,-75.83275,Private room,55,28,16,2013-10-22,0.16,1,321,2,
866003,Ottawa Guest Room Close to DT,621303,Kim,,Rideau-Rockcliffe,45.43785,-75.63784,Private room,39,2,60,2019-06-03,0.81,2,362,0,
875133,"Progressive, Eco-friendly, Central",4606697,Angela,,Capital,45.40469,-75.69298,Private room,83,1,117,2019-09-11,1.14,3,0,0,
902575,Room for rent Downtown Ottawa R,3895093,Nicole,,Somerset,45.41938,-75.69505,Private room,75,90,8,2017-05-06,0.13,1,90,0,
943979,Smart flat near Center&Glebe+Garage,5108859,Maria And Jim,,Somerset,45.41127,-75.69575,Entire home/apt,95,30,294,2019-04-14,2.95,2,178,5,
987450,Central New condo w Balcony/Garage!,5108859,Maria And Jim,,Somerset,45.41161,-75.69629,Entire home/apt,90,30,315,2020-03-31,3.68,2,169,4,
1026310,Lakehouse Inspired Retreat Close to Downtown,5649683,Melanie,,Rideau-Rockcliffe,45.45578,-75.65653,Entire home/apt,610,5,17,2020-08-23,0.26,1,164,1,
1038420,Walk the City from Charming Home,5716841,Phil And Jane,,Somerset,45.41195,-75.71027,Private room,79,2,428,2021-08-06,5.27,1,331,30,
1097429,Centretown 2BD + private bath,2282184,Kate & Erik,,Somerset,45.40953,-75.70138,Private room,79,30,112,2015-03-24,1.14,1,0,0,
1113071,Home in Ottawa's BEST neighbourhood,6108821,Sarah,,Kitchissippi,45.40703,-75.7276,Entire home/apt,375,2,22,2018-12-26,0.25,1,62,3,
1135469,Furnished Cozy Condo ByWard Market,6228943,Claudine,,Rideau-Vanier,45.42932,-75.6834,Entire home/apt,99,5,89,2018-12-31,0.87,1,354,0,
1151370,Retro Chic Teak with an Ottawa Host Family,1755714,Janice And Garry,,College,45.3475,-75.78425,Private room,49,3,38,2021-07-21,0.40,2,272,2,
1225070,Architectural Home Near Dows Lake,6682570,Craig & Rachel,,Kitchissippi,45.40026,-75.71411,Entire home/apt,275,3,11,2019-08-24,0.17,1,0,0,
1242836,Glebe - Family Suite welcomes you,4606697,Angela,,Capital,45.40464,-75.69143,Private room,149,1,73,2018-10-29,0.73,3,0,0,
1244811,House in Ottawa. Fall Availability,6779170,Claudia,,Kanata North,45.34475,-75.9375,Entire home/apt,150,30,1,2013-08-06,0.01,1,69,0,
1450947,Modern Pristine 3BD w Parking,7354245,Lisa Miall,,Kitchissippi,45.40011,-75.72633,Entire home/apt,219,21,104,2021-02-15,1.15,24,344,1,
1520644,"Be welcome, relax, be the change",4606697,Angela,,Capital,45.40268,-75.69189,Private room,83,1,139,2020-01-01,1.54,3,0,0,
1587517,"Bright, Stunning Water View & Free Parking!",1122578,Claudia,,Bay,45.35164,-75.79754,Entire home/apt,60,180,20,2015-09-05,0.27,1,77,0,
1605104,Private room in Nepean/Ottawa near local transit.,7088882,Craig,,River,45.35831,-75.69981,Private room,60,1,1,2017-07-03,0.02,1,0,0,
1641234,Cozy room near Ottawa Airport,8713727,Mary,,Gloucester-South Nepean,45.32437,-75.60155,Private room,49,5,31,2019-09-30,0.32,2,283,4,
1650642,Private Rooms in townhouse,658040,Sharique,,Gloucester-South Nepean,45.28461,-75.71491,Private room,30,1,6,2016-06-14,0.09,1,0,0,
1656607,"Warm, Comfy room near Ottawa Airport",8713727,Mary,,Gloucester-South Nepean,45.32336,-75.60068,Private room,47,5,43,2018-10-23,0.78,2,331,5,
1676024,Summertime in Ottawa,7494505,Amy,,Kitchissippi,45.40266,-75.71759,Entire home/apt,220,2,5,2019-06-23,0.07,1,0,0,
1732533,Private clean bedroom & bathroom,9123239,Mariana,,Gloucester-South Nepean,45.27443,-75.70581,Private room,52,2,105,2019-03-11,1.70,1,259,0,
1774018,Zen Tranquility Retreat,294136176,Vania,,Barrhaven,45.25203,-75.74489,Entire home/apt,170,7,21,2021-10-16,0.83,1,160,11,
1827668,Centrally located 3 bedroom home in Westboro!,6818912,Anne-Marie,,Kitchissippi,45.39533,-75.7582,Entire home/apt,189,30,62,2021-08-26,1.25,1,4,1,
1908873,Mer Bleue Private Apartment,9905548,Nadine,,Cumberland,45.42898,-75.48811,Entire home/apt,95,3,104,2019-01-18,1.33,1,234,5,
1950265,Full Executive Townhome,10085317,Mike,,Gloucester-South Nepean,45.28155,-75.67624,Entire home/apt,175,2,10,2016-07-26,0.13,1,0,0,
2148350,Bright Modern & Spacious - Executive Rental,10964947,Trevor,,College,45.34359,-75.78495,Entire home/apt,92,28,71,2021-01-08,0.89,3,260,6,
2194385,Mini Hotel- Private ensuite room #2,1666028,Muniba,,Alta Vista,45.37881,-75.65746,Private room,79,6,6,2018-08-31,0.07,2,76,0,
2231697,Best Private Room/Bath in Byward,11390230,Meghan,,Rideau-Vanier,45.42493,-75.69181,Private room,93,1,144,2016-12-16,1.67,1,0,0,
2294702,Sleep well. Cast Iron Double Bed,11722130,Andrea,,Rideau-Vanier,45.44036,-75.66556,Private room,60,2,24,2015-06-05,0.38,2,0,0,
2361265,Luxury Downtown 1 Bedroom Condo,5091315,Justyna,,Somerset,45.41671,-75.70046,Entire home/apt,120,60,51,2016-04-23,0.59,1,290,0,
2374455,Charming Eurostyle apartment! PD2,3201295,Greg And Valerie,,Kitchissippi,45.40387,-75.73097,Entire home/apt,69,30,16,2017-09-21,0.22,6,77,1,
