id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54334,Beau logement avec vue magnifique sur les montagne,254811,Charlotte,,Quartier 5-1,46.914,-71.19565,Entire home/apt,115,2,94,2019-08-27,0.75,1,135,1,
138381,Bed & Breakfast La California,675584,Mary,,Sillery,46.76843,-71.26636,Private room,145,1,158,2021-10-23,1.27,2,354,11,
198548,Fabulous view - Central - Ideal work from home,960772,Marianne,,Saint-Roch,46.81169,-71.22522,Entire home/apt,150,30,51,2019-11-12,0.41,1,160,3,
214967,Au bord du fleuve/Beach house,1110010,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80286,-71.21271,Private room,83,3,172,2021-08-27,1.53,1,74,10,
268812,Apartment Old city Quebec condo,1408583,Émilie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81023,-71.21082,Entire home/apt,40,30,77,2018-05-11,0.64,1,0,0,
330502,Home sweet home!,1686119,Claire,,Vieux-Moulin,46.85134,-71.21403,Entire home/apt,89,3,33,2015-09-15,0.28,1,309,0,
502417,Centennial townhouse 1915- No CITQ 138600,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Entire home/apt,98,2,178,2020-02-18,1.60,6,202,0,
517628,Entire Townhouse on Historic rue Champlain,2216595,Jennifer,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80552,-71.20696,Entire home/apt,432,2,19,2019-12-26,0.70,1,27,4,
562682,New-York experience -  CITQ No 138600,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Entire home/apt,70,90,103,2020-01-01,1.65,6,202,0,
588889,Waterfront in Quebec City,2904660,Mariane,,Lac-Saint-Charles,46.93219,-71.38034,Entire home/apt,300,7,6,2021-08-15,0.10,2,0,2,
652744,Vintage Artistic  entire flat 2.5 - No C!TQ 138600,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Entire home/apt,65,2,122,2020-01-02,1.41,6,202,1,
652815,The Québécoise   No d'établissement 138600,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Private room,60,90,104,2019-10-16,0.94,6,270,0,
652950,SUPER VIEW  on the city- CITQ 138600,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Private room,68,90,86,2019-12-31,0.85,6,202,0,
659635,Confortable TWIN BEDS with artistic walls,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Private room,68,2,90,2020-02-19,0.81,6,202,0,
661569,Large Charming Room w/ View,675584,Mary,,Sillery,46.76978,-71.26591,Hotel room,145,1,79,2021-10-17,0.79,2,354,15,
760018,Bohème Contemporaine w parking - Citq#301838,4005779,Marie-Christine,,Vieux-Limoilou,46.82868,-71.22634,Entire home/apt,100,25,75,2019-12-26,0.70,1,6,9,
878309,Large and sunny apartment,4598359,Agnes,,Sillery,46.78341,-71.25123,Entire home/apt,75,32,28,2020-10-31,0.28,2,188,2,
878904,Charming studio,4598359,Agnes,,Sillery,46.7817,-71.25042,Entire home/apt,50,32,19,2021-01-31,0.30,2,192,3,
896581,"Québec, chambre avec vue partielle sur le Fleuve",4646399,Mélody,,Cap-Rouge,46.74721,-71.35105,Private room,80,2,6,2017-08-06,0.06,2,363,0,
916246,furnished apt Old Quebec,1562944,Patrice,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81423,-71.2087,Private room,30,31,0,,,3,309,0,
975749,appart central avec parking 6 pers.,3704617,Atnae Et Pascal,,Saint-Sacrement,46.79359,-71.25751,Entire home/apt,75,29,49,2015-12-01,0.47,1,310,0,
997400,lovely appartement,5480680,Adriana,,Chutes-Montmorency,46.88356,-71.17293,Entire home/apt,37,2,478,2021-10-19,4.63,2,183,51,
1001559,Modern Montcalm condo (private parking),5508181,Simon,,Saint-Jean-Baptiste,46.80631,-71.22715,Entire home/apt,279,2,18,2021-08-20,0.52,1,39,13,302754
1014369,Pretty 4 fully furnished rooms,5580354,Jennifer,,Saint-Sauveur,46.81208,-71.23457,Entire home/apt,850,30,251,2020-03-31,2.40,1,150,0,
1094871,"Perfect location, heart of Qc City!",6015223,Guillaume,,Saint-Jean-Baptiste,46.80669,-71.22328,Entire home/apt,95,3,140,2019-08-18,1.63,1,0,0,
